id,category,ai_slop_pattern,severity,description
29,color,Missing semantic color variations,medium,No distinct colors for info warning error success states
30,color,Over-saturated backgrounds that cause eye strain,high,Full saturation backgrounds with no desaturation for readability
31,color,Missing color blindness considerations,critical,Palettes that are indistinguishable for color-blind users
32,color,Default Tailwind ring color for all focus states,medium,Indigo ring on every focusable element
33,color,No color temperature progression through sections,medium,Every section uses identical color temperature
34,color,Missing surface hierarchy in color,high,Background surface and elevated surfaces all same color
35,color,Overuse of opacity for disabled states,medium,Disabled elements just get opacity-50 — no color shift
36,color,No contextual color adaptation,medium,Colors don't adapt to content or context
37,color,Missing elevated surface color differentiation,medium,Cards modals tooltips all share the same surface color
38,color,Default blue link color (#3B82F6),medium,Unstyled links defaulting to Tailwind blue
39,color,Missing visited link state color,low,Links don't change color after being visited
40,color,No seasonal or temporal color variation,low,Static colors with no time-aware or seasonal adaptation
41,typography,Inter as the default/only font family,critical,The single most overused font in AI-generated designs
42,typography,System-ui as fallback with no intentional pairing,medium,No thought given to font stack beyond system defaults
43,typography,Roboto as the secondary default,medium,The fallback when Inter isn't available
44,typography,No serif and sans-serif font pairing,high,Missing the classic serif heading + sans-serif body combination
45,typography,Font-weight 700 for every heading level,high,No variation in heading weight across hierarchy levels
46,typography,Line-height 1.5 applied universally,medium,No variation in line-height for headings vs body vs captions
47,typography,No negative letter-spacing on large headings,medium,Missing the tight tracking that makes large headings look premium
48,typography,No text-wrap balance on headings,medium,Headings wrap awkwardly without balance optimization
49,typography,No typographic scale — meaningless size contrast,high,Heading sizes chosen arbitrarily not from a modular scale
50,typography,Missing font-display swap declaration,medium,Fonts load with FOIT instead of FOUT
51,typography,No custom font loading strategy,medium,Fonts load without preload preconnect or optimization
52,typography,Monospace font used for hacker vibe sections,medium,Unnecessary monospace text to signal technical credibility
53,typography,Same font size for labels body and metadata,high,No size differentiation between content hierarchy levels
54,typography,No letter-spacing intentionality,medium,All text uses default letter-spacing
55,typography,Heading sizes that don't follow modular scale,high,H1 H2 H3 sizes chosen randomly not mathematically
56,typography,Body text too small for readability 14px or less,critical,Below the 16px minimum for comfortable reading
57,typography,No responsive typography fluid type scaling,high,Fixed font sizes that don't scale with viewport
58,typography,Placeholder Lorem Ipsum left in designs,critical,Obvious AI-generated placeholder text not replaced
59,typography,Generic Your Title Here heading text,critical,Template placeholder text left in final output
60,typography,No distinction between display and body typefaces,medium,Same font family used for headings and body copy
61,typography,Overuse of font-weight 600 for subheadings,medium,Every subheading gets semibold with no variation
62,typography,No typographic hierarchy beyond bold/not-bold,high,Only two text weights used throughout entire design
63,typography,Missing text-rendering optimizations,low,No text-rendering optimizeLegibility declaration
64,typography,No consideration for variable fonts,medium,Not leveraging variable font axes for responsive weight
65,typography,Default line-height making dense content hard to scan,medium,Uniform line-height doesn't account for content density
66,typography,Georgia as the default serif fallback,low,Generic serif fallback with no intentional choice
67,typography,Missing font-feature-settings,low,Not enabling ligatures or other OpenType features
68,typography,No optical sizing for responsive text,medium,Font doesn't adjust weight/width at different sizes
69,typography,Overuse of uppercase for headings,medium,Everything in ALL CAPS to seem important
70,typography,Missing hanging punctuation in quotes,low,Quotation marks not optically aligned
71,typography,No consideration for CJK or RTL typography,critical,Typography breaks for non-Latin scripts
72,typography,Default font-smoothing antialiased everywhere,medium,No consideration for subpixel antialiasing where appropriate
73,typography,Missing max-width on body text,high,Body text stretches to full width becoming unreadable
74,typography,No hyphenation or word-break strategy,medium,Long words cause horizontal overflow on mobile
75,typography,Overuse of font-light 300 for body text,medium,Too-thin body text that fails contrast at small sizes
76,layout,Centered hero section every single time,critical,The most predictable AI layout pattern
77,layout,Three-column feature grid grid-cols-3 gap-4,critical,The default AI feature section layout
78,layout,Four-column footer grid,high,Standard AI footer with four equal columns
79,layout,Symmetric 50/50 content-sidebar splits,high,Everything split exactly in half
80,layout,Max-w-7xl as universal container width,high,One container size for every section and page
81,layout,No asymmetric or editorial layouts,critical,Every layout is perfectly symmetrical and boring
82,layout,Identical section padding top and bottom,high,Same padding value for every section regardless of content
83,layout,Full-width background with centered text overlay,medium,Text centered over a full-width colored background
84,layout,Predictable section ordering Hero Features Testimonials CTA Footer,critical,The AI website template formula applied universally
85,layout,No layout variation between pages,high,Every page uses identical layout structure
86,layout,Grid-template using repeat(3, 1fr) exclusively,high,Only one grid pattern used everywhere
87,layout,No broken-grid or overlapping element layouts,critical,Everything locked to a rigid grid with no creative breaks
88,layout,Card-based layouts for everything cardocalypse,critical,Every piece of content wrapped in a card
89,layout,Nested cards within cards within cards,high,Unnecessary card nesting creating visual clutter
90,layout,No intentional content density variation,high,Everything has the same density — no compact or spacious sections
91,layout,Same max-width on every page type,medium,Homepage and content pages share identical container width
92,layout,No editorial/magazine-style layouts,critical,Missing sophisticated multi-column editorial layouts
93,layout,Missing responsive breakpoints beyond mobile/desktop,medium,Only two breakpoints — misses tablet and ultrawide
94,layout,No consideration for ultrawide or tablet-specific,medium,Layouts don't adapt to non-standard viewports
95,layout,Flat HTML structure with minimal semantic nesting,medium,Div soup with no meaningful semantic structure
96,layout,No sticky or fixed positioning used intentionally,medium,Missing opportunities for sticky headers sidebars or CTAs
97,layout,Hero-metric layout pattern big number small label,medium,Stats section with oversized numbers and tiny labels
98,layout,No diagonal or angled section dividers,medium,Every section boundary is a straight horizontal line
99,layout,No full-bleed imagery sections,medium,All images constrained within containers — no edge-to-edge images
100,layout,Identical grid patterns on every page,critical,No layout personality or variation across the site
101,layout,Alternating left-right image-text sections,high,The zigzag pattern — image left text right then swap
102,layout,Single-column content with no sidebar,medium,Everything in one column with no supplementary content
103,layout,No masonry or waterfall grid layouts,medium,Everything in rigid equal-height rows
104,layout,Missing sticky table of contents for long pages,medium,Long content pages without navigational aids
105,layout,No split-screen layouts,medium,Missing opportunities for side-by-side comparisons
106,layout,Overuse of container mx-auto for everything,medium,Every section wrapped in the same centered container
107,layout,No consideration for reading patterns F-pattern Z-pattern,medium,Layout doesn't guide the eye naturally
108,layout,Missing visual entry points per section,medium,Sections don't have clear focal points
109,layout,No layered or parallax depth,medium,Everything exists on a single visual plane
110,layout,Missing content-first layout decisions,high,Layout chosen before content is considered
111,spacing,Strict 4px/8px grid adherence only p-4 p-8 p-12,high,Only round spacing values — no 5px 14px 22px
112,spacing,No off-grid spacing values,medium,Missing intentional breaks from the spacing grid
113,spacing,Uniform padding between every section,high,Same vertical padding for all sections
114,spacing,No intentional whitespace rhythm variation,high,Whitespace doesn't create visual rhythm
115,spacing,Same gap value for all grid layouts,medium,Every grid uses gap-4 or gap-8
116,spacing,No tighter grouping for related elements,medium,Related elements don't have tighter spacing to show relationship
117,spacing,No extra breathing room before major transitions,medium,Section transitions don't use extra whitespace for emphasis
118,spacing,Hero padding identical to content section padding,high,No special treatment for the hero section spacing
119,spacing,No variation in vertical rhythm,high,Uniform spacing creates monotonous reading experience
120,spacing,Overly generous whitespace hiding lack of content,high,Excessive padding used to pad thin content
121,spacing,No compact information density options,medium,Everything is spacious — no dense information views
122,spacing,Missing section-to-section spacing hierarchy,medium,Spacing doesn't reflect section importance
123,spacing,No consideration for content-based spacing,medium,Spacing chosen without regard for content needs
124,spacing,Identical margin-top on every heading,medium,Every heading gets the same top margin
125,spacing,No negative space as a design element,critical,Whitespace not used as an active design tool
126,spacing,Inconsistent horizontal and vertical spacing,medium,Horizontal and vertical spacing don't share a system
127,spacing,Missing micro-spacing for related elements,medium,Labels and their values don't have tighter grouping
128,spacing,No spacing scale for component sizes,medium,Small medium large components don't have proportional spacing
129,spacing,Overlapping elements never used,medium,Missing opportunities for intentional overlap
130,spacing,No consideration for optical vs mathematical spacing,medium,Mathematical equality doesn't equal visual equality
131,components,Cards with rounded-lg and shadow-md on everything,critical,The default AI card style applied universally
132,components,Buttons with bg-blue-500 hover:bg-blue-600,critical,The most generic button style possible
133,components,Badge with inline-flex items-center rounded-full px-3 py-1,high,The exact Tailwind badge recipe everywhere
134,components,Modal with backdrop-blur,medium,Every modal uses backdrop blur regardless of context
135,components,Rounded-xl on every container,high,One border-radius value for everything
136,components,Shadow-lg on every card,high,Same shadow depth on all elevated elements
137,components,Same border-radius across all components,high,No radius hierarchy — everything is equally rounded
138,components,No component size variation,high,All buttons and inputs are the same size
139,components,No visual hierarchy between primary and secondary CTAs,critical,Both CTAs look identical
140,components,Every button is filled — no outlined or ghost variants,medium,Missing button style variety
141,components,Avatar circles with no fallback initials,medium,Missing avatars show nothing instead of initials
142,components,Input fields with identical styling for all types,medium,Text email password inputs all look the same
143,components,No custom checkbox/radio styling,medium,Default browser checkboxes and radios
144,components,Toggle switches all look identical,medium,Every toggle uses the same iOS-style switch
145,components,Dropdown menus with no search or filtering,medium,Long dropdowns without search capability
146,components,Tab components with no active indicator beyond color,medium,Active tab only distinguished by color change
147,components,Accordion components with no animation,medium,Accordion sections snap open/closed with no transition
148,components,Tooltip components missing or generic,medium,Default browser tooltips or basic CSS tooltips
149,components,No skeleton loading states,high,Blank space or spinner instead of content-shaped skeletons
150,components,No empty state designs,high,Empty tables and lists show nothing or generic message
151,components,No error state designs,high,Error states not designed — just show error message
152,components,Toast notifications all look the same,medium,Every notification uses identical toast style
153,components,Pagination with no smart truncation,medium,All page numbers shown even for hundreds of pages
154,components,Breadcrumb always at top never contextual,medium,Breadcrumbs don't adapt to current context
155,components,No component composition variation,medium,Components always used in the same combinations
156,components,Progress bars always linear and horizontal,medium,Missing circular radial or creative progress indicators
157,components,Data tables with no sorting or filtering,medium,Static tables with no interactive capabilities
158,components,Missing drag-and-drop interactions,medium,Reorderable lists use up/down buttons instead of drag
159,components,No contextual action menus,medium,Actions always visible instead of contextually revealed
160,components,Missing inline editing capabilities,medium,All editing requires opening a separate form or modal
161,animation,transition-all duration-300 ease-in-out on every element,critical,The single most overused animation declaration
162,animation,No custom cubic-bezier easing curves,high,Only named easings used — no custom curves
163,animation,Same animation duration for all properties,high,Everything animates in 300ms regardless of distance or importance
164,animation,No prefers-reduced-motion media queries,critical,Animations run for users who have disabled them
165,animation,Generic fade-in on scroll for every section,high,Every section fades in as you scroll — no variety
166,animation,No purposeful micro-interactions,high,Missing satisfying small-scale interactions
167,animation,Missing hover state animations on interactive elements,medium,Interactive elements don't respond visually to hover
168,animation,No loading skeleton shimmer animations,medium,Loading states use spinners instead of skeleton shimmers
169,animation,Missing streaming text typewriter effects,medium,AI text output doesn't stream character by character
170,animation,Missing AI processing state animations,medium,No visual feedback during AI processing
171,animation,No confidence level color transitions,medium,Confidence indicators don't animate between states
172,animation,No spring or bouncy easing for playful interactions,medium,Everything uses linear or ease-in-out — no personality
173,animation,Overuse of animate-bounce or animate-pulse,high,Tailwind's bounce and pulse used excessively
174,animation,No staggered animation delays for list items,medium,List items all appear simultaneously
175,animation,Missing enter/exit animations for modals,medium,Modals appear and disappear without transition
176,animation,No parallax used intentionally,medium,Missing depth and layering through parallax
177,animation,No scroll-triggered number count-up animations,medium,Statistics don't animate when scrolled into view
178,animation,No card lift on hover,medium,Cards don't respond to hover with elevation
179,animation,Animations that run constantly becoming visual noise,high,Continuous animations that distract from content
180,animation,No animation timing tied to user actions,medium,Animations run on their own schedule not user's
181,animation,Missing layout shift prevention during animations,high,Content jumps around during animations
182,animation,No GPU acceleration consideration,medium,Animations use properties that trigger layout recalculation
183,animation,Overuse of CSS animate-pulse for loading,medium,Everything pulses when loading
184,animation,No choreographed multi-element sequences,high,Elements animate independently with no coordination
185,animation,Missing scroll-linked animations,medium,Animations don't respond to scroll position
186,animation,No page transition animations,medium,Page changes are instant with no transition
187,animation,Missing gesture-based animations,medium,Swipe drag and pinch don't have custom animations
188,animation,No morphing or shape-shifting animations,medium,Elements don't transform between states smoothly
189,animation,Missing physics-based motion,medium,Animations don't simulate weight momentum or friction
190,animation,No animation budget or performance consideration,medium,Too many simultaneous animations causing jank
191,imagery,3D abstract faceless humans floating in space,critical,The most recognizable AI-generated imagery pattern
192,imagery,Faceless characters holding glowing orbs,critical,Faceless 3D figures holding abstract glowing objects
193,imagery,Generic stock photos of people shaking hands,high,Corporate stock photography clichés
194,imagery,Overly smooth polished AI-generated renders,high,Everything looks too perfect and plastic
195,imagery,Perfect symmetry without intentional asymmetry,high,All imagery is perfectly balanced and boring
196,imagery,Glossy 3D objects floating in voids,high,Abstract 3D shapes on transparent or gradient backgrounds
197,imagery,Isometric illustrations as default tech imagery,high,Isometric tech illustrations for every SaaS product
198,imagery,Abstract geometric shapes as hero backgrounds,medium,Random geometric shapes as decorative backgrounds
199,imagery,Missing texture or grain in all visuals,high,Everything is perfectly smooth with no texture
200,imagery,No hand-drawn or sketch-style elements,medium,Missing organic hand-crafted visual elements
201,imagery,No paper texture overlays,medium,Missing tactile paper or material textures
202,imagery,No visible brushstrokes or imperfections,medium,All visuals are digitally perfect with no human touch
203,imagery,Generic team collaboration stock photos,medium,Stock photos of diverse teams pointing at screens
204,imagery,Overuse of gradient mesh backgrounds,high,Mesh gradients as the default decorative background
205,imagery,No real photography or behind-the-scenes,high,All imagery is generated — no authentic photography
206,imagery,AI-generated portraits that look uncanny,high,AI headshots with the telltale AI look
207,imagery,Same illustration style across every section,medium,One illustration style used everywhere
208,imagery,No custom iconography — always Lucide/Feather/Heroicons,high,Generic icon libraries with no custom icons
209,imagery,Oversized Lucide icons above every heading,medium,Large generic icons as section headers
210,imagery,No custom SVG illustrations,medium,Missing bespoke illustration work
211,imagery,Missing alt text on all images,critical,Images have no alt text for accessibility
212,imagery,No image optimization or lazy loading,medium,Images load at full resolution without optimization
213,imagery,Terminal mockup screenshots with three colored dots,medium,Fake terminal windows with red yellow green dots
214,imagery,Placeholder image URLs in final output,critical,Placeholder image services left in production code
215,imagery,Overuse of blob shapes,medium,Organic blob shapes as decorative elements everywhere
216,imagery,Missing photographic diversity,medium,Stock photos all feature the same demographic
217,imagery,No contextual imagery,medium,Images don't relate to the specific content
218,imagery,Overuse of dashed border decorations,medium,Dashed borders used as decorative elements
219,imagery,Missing data visualization custom designs,medium,Generic chart libraries instead of custom data viz
220,imagery,No animated illustrations,medium,All illustrations are static
221,structure,Navbar Hero Features Testimonials CTA Footer always,critical,The universal AI website template structure
222,structure,Trusted by logo bar with grayscale company logos,critical,Grayscale logo strip under hero section
223,structure,Generic testimonial cards with stock photos and vague quotes,high,Testimonials that could be about any product
224,structure,Start your free trial as universal CTA,high,The default call-to-action text for every product
225,structure,Inspirational quote blocks that say nothing specific,medium,Vague motivational quotes as section dividers
226,structure,Feature sections with icon heading one-line description,high,The standard three-column feature card pattern
227,structure,Pricing tables with three tiers Basic Pro Enterprise,high,The universal three-tier pricing pattern
228,structure,Middle pricing tier always highlighted as Most Popular,high,The middle plan is always the recommended one
229,structure,FAQ accordion with generic questions,medium,FAQ questions that don't address real user concerns
230,structure,Footer with four columns Product Company Resources Legal,high,The standard AI footer column structure
231,structure,Social media icons in footer row,medium,Social icons lined up in the footer
232,structure,Newsletter signup in footer,medium,Email capture form in the footer
233,structure,Built with AI badge or mention,medium,Unnecessary disclosure that AI was used
234,structure,Hero headline that is vague and buzzword-heavy,critical,Headlines full of jargon with no specific meaning
235,structure,Subtitle that explains nothing specific,high,Subtitles that add no information
236,structure,No real data or statistics — only placeholder numbers,high,Fake statistics and metrics
237,structure,Lorem ipsum or generic placeholder copy,critical,Placeholder text not replaced with real content
238,structure,Japanese-style UX writing extreme redundancy,medium,Overly polite and redundant UX writing
239,structure,AI-generated copy that is grammatically correct but soulless,high,Writing that is technically correct but has no voice
240,structure,Overuse of revolutionary innovative cutting-edge,high,Buzzword-heavy copy with no substance
241,structure,Missing actual user context or personas,high,Content doesn't reflect real user needs
242,structure,No empty loading or error state content,medium,Missing state-specific content
243,structure,Content that doesn't match layout data requirements,medium,Layout expects more content than is provided
244,structure,Generic Learn More link text everywhere,high,Non-descriptive link text used universally
245,structure,No progressive disclosure — everything visible at once,high,Information overload with no progressive reveal
246,structure,Missing content strategy behind the layout,high,Layout without content strategy
247,structure,No storytelling or narrative flow between sections,high,Sections don't build on each other narratively
248,structure,Identical section headings across different pages,medium,Same heading text reused across pages
249,structure,No custom 404 page,medium,Default or missing 404 page
250,structure,Missing breadcrumb or navigation context,medium,Users can't tell where they are in the site
251,structure,Missing social proof beyond testimonials,medium,No case studies metrics or trust indicators
252,structure,Overuse of stat counters in hero,medium,Hero section overloaded with animated counters
253,structure,Missing comparison tables,medium,No feature comparison with alternatives
254,structure,No interactive demos or previews,medium,Product not demonstrated interactively
255,structure,Missing changelog or update section,medium,No visible product evolution
256,navigation,Sticky navbar with logo left links center CTA right,critical,The universal AI navigation bar layout
257,navigation,Hamburger menu on mobile with slide-in panel,high,Standard mobile navigation pattern
258,navigation,Bottom navigation with exactly 5 tabs on mobile,medium,Fixed 5-tab bottom nav on mobile
259,navigation,No mega menus — only simple dropdowns,medium,Complex navigation reduced to simple dropdowns
260,navigation,No contextual or adaptive navigation,medium,Navigation doesn't adapt to user context
261,navigation,Missing active page indicator,medium,Can't tell which page you're on from navigation
262,navigation,No breadcrumb navigation on deep pages,medium,Deep pages without breadcrumb trails
263,navigation,Search bar always in top-right corner,medium,Search always in the same predictable location
264,navigation,No skip-to-content link for accessibility,critical,Missing accessibility navigation aid
265,navigation,No keyboard navigation support,critical,Navigation not keyboard accessible
266,navigation,Missing focus-visible styles,high,Focus states not visually distinct
267,navigation,No progressive navigation hiding secondary items,medium,All navigation items always visible
268,navigation,Sidebar navigation always on the left,medium,Left sidebar used exclusively — no right sidebar patterns
269,navigation,No sticky table of contents for long pages,medium,Long content without navigational aids
270,navigation,Missing back-to-top button on long pages,medium,No way to quickly return to top
271,navigation,Missing contextual navigation suggestions,medium,No related content or next step suggestions
272,navigation,No search with autocomplete,medium,Search doesn't suggest results as you type
273,navigation,Missing navigation search for large sites,medium,Large sites without navigation search
274,navigation,No recent pages or history in navigation,medium,Navigation doesn't help users return to recent pages
275,navigation,Missing keyboard shortcuts documentation,medium,Keyboard shortcuts not documented or discoverable
276,accessibility,Failing WCAG AA contrast ratios light gray on white,critical,Text that doesn't meet minimum contrast requirements
277,accessibility,No aria-labels on icon-only buttons,critical,Icon buttons without accessible names
278,accessibility,Missing alt text on images and illustrations,critical,Images without alternative text
279,accessibility,No focus management for modals and dialogs,high,Focus not trapped or managed in modals
280,accessibility,Missing ARIA live regions for dynamic content,high,Dynamic content changes not announced to screen readers
281,accessibility,No screen reader announcements for state changes,high,State changes not communicated accessibly
282,accessibility,Touch targets smaller than 44x44 points,critical,Interactive elements too small for touch
283,accessibility,No skip navigation links,high,Missing skip-to-content links
284,accessibility,Missing role attributes on custom components,high,Custom components without ARIA roles
285,accessibility,No keyboard trap prevention in modals,high,Users can get stuck in modal dialogs
286,accessibility,Color-only indicators without text alternatives,critical,Information conveyed only through color
287,accessibility,No reduced motion support,critical,Animations run for users who prefer reduced motion
288,accessibility,Missing form label associations,high,Form inputs without proper label associations
289,accessibility,No error message announcements for screen readers,high,Form errors not announced to screen readers
290,accessibility,Inaccessible custom dropdowns and selects,high,Custom select menus not keyboard accessible
291,accessibility,Missing heading hierarchy,medium,Headings don't follow logical hierarchy
292,accessibility,No language attribute on html element,medium,Page language not declared
293,accessibility,Missing table headers and scope,medium,Data tables without proper header associations
294,accessibility,No aria-expanded on collapsible elements,medium,Collapsible sections don't communicate state
295,accessibility,Missing aria-current on active navigation,medium,Active navigation items not marked
296,ai-ui,Glassmorphism 2.0 frosted glass AI panels on dark,critical,The signature AI interface aesthetic of 2025-2026
297,ai-ui,Dark mode default #0A0A0A to #1A1A2E for AI panels,critical,The universal dark AI panel color scheme
298,ai-ui,Streaming text with typewriter cursor effect,high,AI text output streams with blinking cursor
299,ai-ui,Skeleton loading with shimmer for AI responses,medium,Shimmer placeholders for AI-generated content
300,ai-ui,Confidence indicator badges 92 percent confidence,medium,Arbitrary confidence percentages on AI output
301,ai-ui,Color-coded borders for AI certainty green amber red,medium,Border colors indicating AI confidence
302,ai-ui,Thinking or Generating micro-copy during loading,medium,Generic loading messages for AI processing
303,ai-ui,AI response panels with translucent backgrounds,medium,Semi-transparent panels for AI responses
304,ai-ui,Source citation links under AI-generated content,medium,Citation links that may or may not be accurate
305,ai-ui,Feedback thumbs up/down on every AI response,medium,Mandatory feedback collection on every response
306,ai-ui,Persistent microphone button for voice input,medium,Always-visible voice input button
307,ai-ui,Audio waveform animation while listening,medium,Animated waveform during voice input
308,ai-ui,Powered by AI badges and disclaimers,medium,Unnecessary AI attribution
309,ai-ui,Chat bubble interface as default AI interaction,high,Everything reduced to a chat interface
310,ai-ui,No fallback UI when AI is unavailable,high,Blank or broken state when AI service is down
311,ai-ui,Missing regenerate button on AI outputs,medium,Can't regenerate or retry AI output
312,ai-ui,No copy-to-clipboard on AI-generated text,medium,Missing convenient copy functionality
313,ai-ui,AI panel doesn't handle variable content length,medium,AI panels break with very long or short content
314,ai-ui,No distinction between user input and AI output,medium,User and AI text look identical
315,ai-ui,Missing rate limiting or quota indicators,medium,No indication of usage limits
316,ai-ui,Overuse of sparkle or star icons for AI features,medium,Sparkle emoji as the universal AI indicator
317,ai-ui,Missing AI mode toggle,medium,Can't switch between AI-assisted and manual modes
318,ai-ui,No edit-in-place for AI-generated content,medium,Can't directly edit AI output
319,ai-ui,Missing version history for AI iterations,medium,Can't compare or revert AI output versions
320,ai-ui,No prompt suggestion or template system,medium,No help with crafting AI prompts
321,code,Tailwind CSS classes used exclusively no custom CSS,high,Everything in Tailwind utilities — no custom CSS
322,code,className with 20+ utility classes on every element,high,Extremely long class strings on every element
323,code,No CSS custom properties or design tokens,high,Hardcoded values instead of design tokens
324,code,Hardcoded values instead of theme references,high,Magic numbers throughout the codebase
325,code,No CSS-in-JS or styled-components abstraction,medium,No component-scoped styling abstraction
326,code,React components with no prop types or TypeScript,high,Untyped React components
327,code,Missing semantic HTML div soup instead of article section nav,critical,Non-semantic HTML structure
328,code,No CSS containment for performance,medium,Missing CSS containment for complex components
329,code,Missing viewport meta tag optimizations,medium,Viewport meta tag not fully configured
330,code,No print stylesheet,low,Missing print styles
331,code,Inline styles mixed with utility classes,medium,Inconsistent styling approach
332,code,No CSS reset or normalize beyond Tailwind defaults,medium,Relying solely on Tailwind's reset
333,code,Missing Open Graph meta tags,medium,Missing social sharing meta tags
334,code,No structured data JSON-LD,medium,Missing structured data for SEO
335,code,No favicon variations or manifest file,medium,Missing comprehensive favicon setup
336,code,Missing service worker for offline support,medium,No offline capability
337,code,No performance optimization image compression code splitting,high,Missing performance best practices
338,code,Missing error boundaries in React components,medium,Errors crash the entire app
339,code,No loading state management,medium,Loading states not properly managed
340,code,No form validation beyond HTML5 defaults,medium,Relying solely on browser validation
341,code,Missing key props in list rendering,medium,React lists without proper keys
342,code,Overuse of useEffect for everything,medium,Effects used where derived state would suffice
343,code,No memoization of expensive computations,medium,Missing useMemo and useCallback
344,code,Missing proper cleanup in effects,medium,Effects without cleanup functions
345,code,No proper error handling in async operations,medium,Async operations without error boundaries
346,responsive,Mobile layout is just stacked desktop columns,critical,Responsive design means stacking columns
347,responsive,No mobile-specific navigation patterns,medium,Desktop navigation simply collapses on mobile
348,responsive,Touch targets too small on mobile,high,Desktop-sized touch targets on mobile
349,responsive,No consideration for thumb-zone placement,medium,Interactive elements not placed for easy thumb access
350,responsive,Horizontal overflow on mobile tables and grids,high,Tables and grids break on mobile
351,responsive,No mobile-specific typography scaling,medium,Same font sizes on mobile as desktop
352,responsive,Missing safe area insets for notched devices,medium,Content hidden behind notches or home indicators
353,responsive,No consideration for fold or unfold devices,medium,Layouts don't adapt to foldable screens
354,responsive,Desktop-only hover states with no mobile equivalent,medium,Hover effects don't have mobile alternatives
355,responsive,No pull-to-refresh implementation,medium,Missing standard mobile gesture
356,responsive,Missing mobile keyboard considerations input types,medium,Input fields don't trigger appropriate keyboards
357,responsive,No consideration for one-handed use,medium,Key interactive elements out of one-handed reach
358,responsive,Fixed elements that cover content on small screens,medium,Fixed headers or navbars cover too much mobile content
359,responsive,No mobile-specific image cropping,medium,Images not cropped appropriately for mobile
360,responsive,Missing viewport height vh fallbacks for mobile,medium,vh units break on mobile browsers with dynamic toolbars
361,responsive,No consideration for landscape orientation,medium,Layouts break in landscape mode
362,responsive,Missing responsive image srcset,medium,Images not served at appropriate resolutions
363,responsive,No touch gesture alternatives for mouse actions,medium,Drag and hover actions have no touch equivalent
364,responsive,Missing responsive email design,medium,Emails not designed for mobile viewing
365,responsive,No consideration for low-end devices,medium,Heavy animations and effects on low-end hardware
366,copy,In today's fast-paced digital world openings,critical,The most cliché AI copy opening
367,copy,Unlock your potential as a headline,critical,Generic motivational headline
368,copy,Transform your business with AI taglines,critical,The universal AI product tagline
369,copy,Seamless integration as a feature description,high,Vague feature description
370,copy,Empower your team as a value proposition,high,Generic value proposition
371,copy,Streamline your workflow everywhere,high,The most overused benefit claim
372,copy,Leverage the power of constructions,high,Empty corporate construction
373,copy,At the forefront of innovation claims,medium,Meaningless innovation claim
374,copy,Delve into and dive deep into transitions,medium,Overused transition phrases
375,copy,It is important to note that filler phrases,medium,Unnecessary filler phrase
376,copy,In conclusion endings,medium,Formulaic ending phrase
377,copy,Whether you are a beginner or expert cliches,medium,Inclusivity cliché
378,copy,Game-changing as a descriptor,medium,Overused superlative
379,copy,Next-generation or next-gen modifiers,medium,Meaningless temporal modifier
380,copy,State-of-the-art technology claims,medium,Dated technology claim
381,copy,Missing specific numbers data or case studies,high,No concrete evidence to support claims
