ID,Category,Design Element,Description,Human Quality Signal
30,Texture,Metal oxidation,Subtle patina and tarnish on metallic elements,Aging process
31,Texture,Pencil sketch lines,Graphite lines with visible pencil grain and pressure variation,Drawing tool trace
32,Texture,Crayon wax buildup,Waxy texture with visible layering and pressure marks,Childhood craft
33,Texture,Pastel chalk dust,Soft chalk particles visible on dark backgrounds,Art studio feel
34,Texture,Spray paint splatter,Aerosol paint droplets and overspray patterns,Street art energy
35,Texture,Screen print halftone,Visible dot patterns from screen printing process,Print shop craft
36,Texture,Linocut marks,Carved linoleum block printing marks with刀痕,Relief printing
37,Texture,Etching lines,Fine acid-etched lines on metal-appearing surfaces,Traditional printmaking
38,Texture,Risograph ink bleed,Layered riso printing with slight misregistration,DIY publishing
39,Texture,Photocopy degradation,Xeroxed appearance with generation loss and toner scatter,Office nostalgia
40,Texture,Newsprint dot pattern,Visible CMYK or newsprint dot patterns on backgrounds,Mass media craft
41,Color,Hand-mixed color variation,Slight color shifts as if mixed by hand each time,Paint mixing
42,Color,Watercolor bleeding,Colors that bleed into each other with soft edges,Water behavior
43,Color,Imperfect gradient,Gradients with slight banding or irregular transitions,Non-digital feel
44,Color,Earth tone palette,Natural colors sourced from soil plants and minerals,Organic origin
45,Color,Faded vintage colors,Colors that appear sun-bleached or time-worn,Aging narrative
46,Color,Analog film color cast,Warm or cool color shifts characteristic of film stocks,Photographic chemistry
47,Color,Hand-dyed fabric colors,Slightly uneven dye absorption visible in color fields,Textile craft
48,Color,Pigment granulation,Visible pigment particles settling in washes,Physical paint behavior
49,Color,Overprinted colors,Colors that appear layered with slight offset,Print process
50,Color,Muted natural palette,Desaturated colors found in nature not screen,Real world reference
51,Color,Seasonal color shifts,Colors that change subtly based on time of year,Natural cycles
52,Color,Weather-influenced tones,Colors that evoke specific weather conditions,Atmospheric memory
53,Color,Cultural color stories,Palettes rooted in specific cultural traditions,Human heritage
54,Color,Emotional color mapping,Colors chosen for feeling not algorithmic harmony,Human emotion
55,Color,Intentional color clash,Slightly discordant colors that create tension,Human boldness
56,Color,Monochrome with accent,Mostly one color with one hand-picked highlight,Restraint and focus
57,Color,Palette from a photograph,Colors extracted from a specific real-world photo,Specific memory
58,Color,Hand-painted color swatches,Visible brush strokes in color blocks,Physical application
59,Color,Inconsistent saturation,Saturation that varies naturally across a design,Non-uniform application
60,Color,Temperature variation,Warm and cool areas within the same color field,Natural light behavior
61,Layout,Asymmetric balance,Layouts balanced through visual weight not symmetry,Human intuition
62,Layout,Intentional white space,Breathing room that feels considered not calculated,Thoughtful pause
63,Layout,Overlapping elements,Elements that layer and overlap like a collage,Physical assembly
64,Layout,Broken grid,Elements that deliberately break the grid structure,Rule breaking
65,Layout,Diagonal composition,Layouts organized along diagonal axes,Dynamic energy
66,Layout,Scattered arrangement,Elements placed as if scattered on a table,Casual organization
67,Layout,Magazine editorial spread,Layouts that feel like editorial print design,Print heritage
68,Layout,Hand-placed elements,Items that look manually positioned not auto-aligned,Human placement
69,Layout,Varied column widths,Columns of different widths creating visual rhythm,Organic structure
70,Layout,Intentional crowding,Dense areas contrasted with open spaces,Tension and release
71,Layout,Layered depth,Elements at multiple visual depths like a physical collage,Physical stacking
72,Layout,Rotated elements,Slightly rotated cards or images on a page,Desk arrangement
73,Layout,Polaroid-style placement,Images arranged like photos pinned to a board,Memory display
74,Layout,Notebook margin layout,Content arranged like notes in a margin,Study aesthetic
75,Layout,Zine-style chaos,Intentionally chaotic layouts with personality,DIY publishing
76,Layout,Newspaper column flow,Traditional newspaper column structures with modern twist,Journalism heritage
77,Layout,Gallery wall arrangement,Elements arranged like artworks on a gallery wall,Curated display
78,Layout,Scrapbook layering,Torn edges tape marks and layered paper effects,Memory keeping
79,Layout,Bulletin board style,Elements pinned and tacked to a virtual board,Community space
80,Layout,Hand-organized desk,Layout mimicking items arranged on a desk,Personal workspace
81,Micro-interaction,Button press depression,Buttons that visually depress when clicked,Physical button feel
82,Micro-interaction,Elastic bounce,Easing that overshoots and bounces back like a spring,Physical elasticity
83,Micro-interaction,Hand-drawn cursor trail,Cursor leaves a hand-drawn line as it moves,Drawing gesture
84,Micro-interaction,Ripple effect with variation,Ripples that vary in size and speed each time,Natural variation
85,Micro-interaction,Organic hover wobble,Elements that wobble slightly on hover,Hand-touched feel
86,Micro-interaction,Delayed response,Intentional slight delay before action feels considered,Human thought pause
87,Micro-interaction,Haptic visual feedback,Visual shake or pulse mimicking haptic feedback,Tactile translation
88,Micro-interaction,Handwritten loading animation,Loading spinner drawn like handwriting in progress,Active creation
89,Micro-interaction,Particle burst on click,Particles that scatter like confetti or dust,Physical dispersal
90,Micro-interaction,Morphing organic shapes,Shapes that morph with fluid organic motion,Living movement
91,Micro-interaction,Scroll-triggered drawing,Elements that draw themselves as you scroll,Revelation pacing
92,Micro-interaction,Hover state color shift,Subtle color warming on hover like body heat,Human warmth
93,Micro-interaction,Drag resistance,Elements that show resistance when dragged,Physical weight
94,Micro-interaction,Snap-to with overshoot,Elements that overshoot their target then settle,Magnetic pull
95,Micro-interaction,Staggered reveal,Elements appearing one by one with slight delay,Sequential attention
96,Micro-interaction,Parallax with depth,Multiple layers moving at different speeds,Physical depth
97,Micro-interaction,Ink drop animation,Ink dropping and spreading on contact,Fluid dynamics
98,Micro-interaction,Paper fold unfold,Elements that fold and unfold like origami,Paper craft
99,Micro-interaction,Hand-flip page turn,Page turns that mimic flipping through a book,Tactile reading
100,Micro-interaction,Breathing animation,Subtle scale pulsing that mimics breathing rhythm,Life presence
101,Illustration,Hand-drawn icons,Icons with visible pen strokes and imperfections,Drawing process
102,Illustration,Sketch-style illustrations,Loose sketchy illustrations with construction lines,Design process
103,Illustration,Watercolor illustrations,Illustrations with watercolor wash effects and bleeding,Paint medium
104,Illustration,Ink and wash technique,Ink line work with watercolor wash fills,Traditional technique
105,Illustration,Colored pencil texture,Illustrations with visible colored pencil grain,Drawing tool
106,Illustration,Gouache opacity,Opaque paint illustrations with visible brush strokes,Paint application
107,Illustration,Marker pen strokes,Illustrations with visible marker pen layering,Everyday tool
108,Illustration,Collage illustrations,Mixed media collage with torn paper and photos,Physical assembly
109,Illustration,Etching style illustrations,Fine line etching with crosshatching,Printmaking craft
110,Illustration,Woodcut illustrations,Bold carved woodcut style with visible刀痕,Relief carving
111,Illustration,Lino print style,Bold simplified shapes with carved texture,Block printing
112,Illustration,Screen print halftone,Illustrations with visible screen print dot patterns,Print shop
113,Illustration,Risograph layered colors,Layered spot colors with slight misregistration,DIY printing
114,Illustration,Charcoal illustrations,Dark rich charcoal with smudged edges,Drawing medium
115,Illustration,Pastel illustrations,Soft pastel illustrations with visible chalk texture,Art medium
116,Illustration,Crayon illustrations,Childlike crayon drawings with wax texture,Childhood craft
117,Illustration,Digital painting brush strokes,Visible digital brush strokes mimicking real paint,Painterly gesture
118,Illustration,Doodle-style illustrations,Playful doodles with spontaneous energy,Casual creativity
119,Illustration,Technical drawing style,Illustrations that look like technical pen drawings,Precision craft
120,Illustration,Botanical illustration,Detailed botanical drawings with scientific accuracy,Naturalist tradition
121,UI Component,Hand-drawn borders,Borders that look drawn with a pen or brush,Manual drawing
122,UI Component,Rough-edged cards,Cards with slightly irregular hand-cut edges,Scissor craft
123,UI Component,Torn paper edges,Elements with torn paper edge effects,Physical tearing
124,UI Component,Tape-held elements,Elements that appear held by visible tape strips,Physical attachment
125,UI Component,Pin-held elements,Elements with visible pushpin attachment points,Bulletin board
126,UI Component,Stapled elements,Elements with visible staple marks,Office craft
127,UI Component,Stitched borders,Elements with visible stitching along edges,Sewing craft
128,UI Component,Stamped elements,Elements with rubber stamp impression marks,Stamping craft
129,UI Component,Wax seal accents,Elements with wax seal details,Traditional correspondence
130,UI Component,Handwritten labels,Labels in handwriting font with slight variation,Personal note
131,UI Component,Tag and string elements,Elements with attached paper tags and string,Product labeling
132,UI Component,Envelope-style containers,Containers styled like physical envelopes,Mail craft
133,UI Component,Notebook paper backgrounds,Backgrounds with ruled notebook lines,Study aesthetic
134,UI Component,Sticky note elements,Elements styled as sticky notes with slight curl,Office supply
135,UI Component,Index card layout,Elements arranged like index cards,Research organization
136,UI Component,File folder tabs,Tabs styled like manila folder tabs,Filing system
137,UI Component,Postage stamp borders,Borders with perforated stamp edges,Postal craft
138,UI Component,Bookmark elements,Bookmark-shaped UI elements,Reading accessory
139,UI Component,Library card elements,Elements styled like vintage library cards,Institutional nostalgia
140,UI Component,Receipt-style elements,Elements styled like printed receipts,Everyday object
141,Navigation,Hand-drawn menu items,Navigation items with hand-drawn underline or highlight,Sketchy feel
142,Navigation,Organic menu animation,Menu items that flow in with organic motion,Natural movement
143,Navigation,Scattered navigation,Nav items arranged in a scattered organic pattern,Casual arrangement
144,Navigation,Handwritten navigation,Navigation labels in handwriting style,Personal touch
145,Navigation,Icon-based navigation,Navigation using hand-drawn icon illustrations,Visual language
146,Navigation,Scroll-based navigation,Navigation that appears as you scroll,Revelation pacing
147,Navigation,Hover-reveal submenus,Submenus that unfold organically on hover,Natural unfolding
148,Navigation,Magnetic cursor nav,Cursor that magnetically snaps to nav items,Physical attraction
149,Navigation,Gesture-based navigation,Navigation controlled by swipe or drag gestures,Physical interaction
150,Navigation,Progressive disclosure nav,Navigation that reveals itself gradually,Conversation pacing
151,Navigation,Contextual navigation,Navigation that changes based on where you are,Adaptive thinking
152,Navigation,Visual breadcrumb trail,Breadcrumbs styled as a physical trail or path,Journey metaphor
153,Navigation,Map-style navigation,Navigation styled like a map with waypoints,Wayfinding
154,Navigation,Book-style chapters,Navigation styled as book chapters,Reading metaphor
155,Navigation,Playlist-style nav,Navigation styled like a music playlist,Curated sequence
156,Navigation,Gallery-style navigation,Navigation as a browsable gallery,Art viewing
157,Navigation,Timeline navigation,Navigation arranged along a visual timeline,Chronological story
158,Navigation,Card stack navigation,Navigation as a stack of explorable cards,Physical deck
159,Navigation,Wheel navigation,Circular navigation wheel you rotate,Physical dial
160,Navigation,Drawer-style navigation,Navigation that slides out like a physical drawer,Furniture metaphor
161,Scroll Effect,Parallax storytelling,Elements moving at different speeds to tell a story,Layered narrative
162,Scroll Effect,Scroll-triggered animations,Elements that animate into view as you scroll,Revelation timing
163,Scroll Effect,Horizontal scroll sections,Sections that scroll horizontally within vertical flow,Breaking convention
164,Scroll Effect,Scroll-linked typography,Text that changes size or style based on scroll position,Responsive expression
165,Scroll Effect,Progressive image reveal,Images that gradually reveal as you scroll,Curtain reveal
166,Scroll Effect,Scroll-driven color shifts,Background colors that shift as you scroll,Mood transition
167,Scroll Effect,Sticky scroll sections,Sections that pin and transform while scrolling,Stage performance
168,Scroll Effect,Scroll velocity reactions,Elements that react to how fast you scroll,Energy response
169,Scroll Effect,Diagonal scroll paths,Content that moves along diagonal scroll paths,Breaking the vertical
170,Scroll Effect,3D scroll depth,Elements that move in 3D space as you scroll,Spatial navigation
171,Scroll Effect,Scroll-triggered drawing,SVG paths that draw themselves on scroll,Active creation
172,Scroll Effect,Morphing scroll transitions,Sections that morph into each other organically,Shape-shifting
173,Scroll Effect,Scroll-based sound,Subtle audio that changes with scroll position,Multisensory
174,Scroll Effect,Particle scroll trails,Particles that follow your scroll movement,Energy trail
175,Scroll Effect,Scroll-driven narrative,Story that unfolds chapter by chapter on scroll,Book reading
176,Scroll Effect,Infinite scroll with variation,Infinite content that changes style as you scroll,Evolving landscape
177,Scroll Effect,Scroll snap with personality,Snap points with bounce and character,Physical detent
178,Scroll Effect,Layered scroll reveals,Background layers that reveal on scroll,Peeling back
179,Scroll Effect,Scroll-controlled video,Video playback controlled by scroll position,Manual projection
180,Scroll Effect,Parallax illustration layers,Illustration layers moving at different speeds,Shadow puppet
181,Hover State,Hand-drawn hover underline,Underline that draws itself on hover,Active marking
182,Hover State,Color temperature shift,Elements warm up on hover like body heat,Human warmth
183,Hover State,Organic scale change,Elements that grow with organic easing,Natural growth
184,Hover State,Shadow depth increase,Shadows that deepen on hover like lifting,Physical lift
185,Hover State,Texture reveal,Hidden texture that appears on hover,Discovery moment
186,Hover State,Handwritten tooltip,Tooltips in handwriting style,Personal note
187,Hover State,Magnetic attraction,Cursor that pulls toward hoverable elements,Magnetic force
188,Hover State,Ripple from cursor position,Ripple originating from exact cursor position,Touch point
189,Hover State,Sketch outline on hover,Elements get a sketchy outline on hover,Drafting feel
190,Hover State,Ink bleed on hover,Colors that appear to bleed on hover,Wet paint
191,Hover State,Paper lift effect,Elements that appear to lift off the page,Physical paper
192,Hover State,Glow from within,Elements that glow from inside on hover,Inner light
193,Hover State,Rotation on hover,Slight rotation on hover like being picked up,Handling
194,Hover State,Layer separation,Overlapping layers that separate on hover,Peeling apart
195,Hover State,Hand-drawn arrow pointer,Arrow that draws itself pointing at element,Guiding gesture
196,Hover State,Stamp effect on hover,Rubber stamp impression appears on hover,Marking
197,Hover State,Highlighter effect,Text highlighted like with a marker pen,Study gesture
198,Hover State,Crosshatch reveal,Crosshatch pattern fills element on hover,Drawing technique
199,Hover State,Watercolor wash on hover,Watercolor wash spreads across element on hover,Paint spreading
200,Hover State,Emboss on hover,Element appears embossed on hover,Printing technique
201,Loading,Hand-drawn spinner,Loading spinner that looks hand-drawn,Sketchy animation
202,Loading,Progressive sketch reveal,Content sketches itself in during loading,Active drawing
203,Loading,Paint filling loader,Loader that fills like paint being poured,Liquid filling
204,Loading,Handwritten loading text,Loading message in handwriting,Personal message
205,Loading,Organic shape morphing,Loader that morphs between organic shapes,Living form
206,Loading,Page flip loader,Loader styled as pages flipping,Book reading
207,Loading,Pencil drawing progress,Progress shown as pencil drawing itself,Active creation
208,Loading,Watercolor spreading,Loading animation as watercolor spreading on paper,Paint behavior
209,Loading,Ink drop loading,Ink drops falling and spreading as loading indicator,Fluid motion
210,Loading,Hand-crank animation,Loader styled as a hand-cranked mechanism,Manual effort
211,Loading,Typewriter text loading,Text appearing letter by letter like typewriter,Manual typing
212,Loading,Stamp collection loader,Loading stamps collecting to complete the page,Stamp collecting
213,Loading,Puzzle piece assembly,Content assembling like puzzle pieces,Physical assembly
214,Loading,Weaving animation,Content weaving itself together like fabric,Textile craft
215,Loading,Clay molding loader,Loader shaped like clay being molded,Sculpting
216,Loading,Origami folding,Content folding itself into place like origami,Paper folding
217,Loading,Seed growing animation,Loader as a seed growing into a plant,Natural growth
218,Loading,Hand-stitching progress,Progress shown as thread stitching elements,Sewing
219,Loading,Paint brush strokes,Content revealed by paint brush strokes,Painting action
220,Loading,Charcoal sketching in,Content sketching in with charcoal texture,Drawing process
221,Form Design,Hand-drawn input borders,Input fields with hand-drawn border lines,Sketchy input
222,Form Design,Handwriting-style inputs,Input text appears in handwriting as you type,Personal writing
223,Form Design,Organic checkbox,Checkboxes with hand-drawn check marks,Manual marking
224,Form Design,Radio button pencil dots,Radio buttons filled with pencil dot texture,Drawing fill
225,Form Design,Sketched form labels,Form labels that look hand-labeled,Annotation
226,Form Design,Paper form aesthetic,Digital forms styled like paper forms,Physical form
227,Form Design,Handwritten validation messages,Error messages in handwriting style,Personal correction
228,Form Design,Ink pen cursor in inputs,Cursor styled as a pen nib in input fields,Writing tool
229,Form Design,Rough-edged textareas,Textareas with torn or rough paper edges,Physical paper
230,Form Design,Stamp-style submit button,Submit button styled as a rubber stamp,Stamping action
231,Form Design,Progressive form reveal,Form fields that appear one at a time,Conversation flow
232,Form Design,Hand-drawn focus state,Focus ring that looks hand-drawn around input,Manual highlighting
233,Form Design,Notebook-style form,Form styled like a notebook page,Study aesthetic
234,Form Design,Postcard-style form,Form styled like a postcard being written,Correspondence
235,Form Design,Label maker style,Form labels styled like label maker tape,Vintage office
236,Form Design,Hand-stamped validation,Validation marks that look hand-stamped,Official marking
237,Form Design,Red pen corrections,Error corrections shown in red pen style,Teacher feedback
238,Form Design,Highlighter focus,Focus state as highlighter marker stroke,Study tool
239,Form Design,Clipboard form aesthetic,Form styled as content on a clipboard,Field work
240,Form Design,Handwritten placeholder,Placeholder text in handwriting style,Personal note
241,Button,Hand-drawn button borders,Buttons with sketchy hand-drawn borders,Drawing gesture
242,Button,Organic button shapes,Buttons with slightly irregular organic shapes,Hand-cut feel
243,Button,Stamp-style buttons,Buttons styled as rubber stamps,Stamping action
244,Button,Hand-painted buttons,Buttons with visible brush stroke textures,Paint application
245,Button,Stitched button borders,Buttons with visible stitching around edges,Sewing craft
246,Button,Pressed button effect,Buttons that appear physically pressed when clicked,Physical interaction
247,Button,Wax seal buttons,Buttons styled as wax seals,Traditional craft
248,Button,Wooden button texture,Buttons with visible wood grain texture,Woodworking
249,Button,Fabric button texture,Buttons with fabric or textile texture,Textile craft
250,Button,Hand-lettered button text,Button text in hand-lettered style,Calligraphy
251,Button,Rough-edge button,Buttons with torn or rough-cut edges,Hand-cut paper
252,Button,Ink-stamped button,Buttons with ink stamp impression effect,Stamping
253,Button,Sketch-to-fill button,Button fills with sketch lines on hover,Active drawing
254,Button,Watercolor button,Buttons with watercolor wash fill,Paint medium
255,Button,Charcoal button,Buttons with charcoal texture and smudged edges,Drawing medium
256,Button,Neon tube button,Buttons styled as bent neon tubes,Sign making
257,Button,Ceramic button texture,Buttons with glazed ceramic appearance,Pottery
258,Button,Leather button texture,Buttons with leather grain and stitching,Leatherwork
259,Button,Metal embossed button,Buttons with embossed metal appearance,Metalwork
260,Button,Hand-carved button,Buttons that look hand-carved from wood,Wood carving
261,Card Design,Hand-drawn card borders,Cards with sketchy irregular borders,Manual drawing
262,Card Design,Torn paper cards,Cards with torn paper edge effects,Physical tearing
263,Card Design,Polaroid-style cards,Cards styled as polaroid photos,Nostalgic photography
264,Card Design,Postcard cards,Cards styled as vintage postcards,Mail craft
265,Card Design,Playing card style,Cards styled as playing cards,Game aesthetic
266,Card Design,Trading card design,Cards with trading card layout and borders,Collectible feel
267,Card Design,Index card design,Cards styled as library index cards,Research tool
268,Card Design,Sticky note cards,Cards styled as sticky notes,Office supply
269,Card Design,Scrapbook cards,Cards with scrapbook layering and embellishments,Memory keeping
270,Card Design,Business card style,Cards styled as artisan business cards,Professional craft
271,Card Design,Tag-style cards,Cards styled as product tags with string,Product labeling
272,Card Design,Book cover cards,Cards styled as miniature book covers,Bookbinding
273,Card Design,Photo album cards,Cards styled as photo album pages,Memory display
274,Card Design,Newspaper clipping cards,Cards styled as newspaper clippings,Press archive
275,Card Design,Recipe card style,Cards styled as handwritten recipe cards,Family tradition
276,Card Design,Field note cards,Cards styled as field research notes,Scientific observation
277,Card Design,Museum label cards,Cards styled as museum exhibit labels,Curatorial display
278,Card Design,Herbarium cards,Cards styled as pressed flower specimens,Botanical collection
279,Card Design,Stamp collection cards,Cards styled as stamp album pages,Philately
280,Card Design,Sketchbook page cards,Cards styled as sketchbook pages,Artist process
281,Header,Hand-lettered logo,Logo in hand-lettered typography,Calligraphy
282,Header,Sketch-style header,Header with hand-drawn elements and borders,Sketchy aesthetic
283,Header,Painted header background,Header with visible paint stroke background,Paint application
284,Header,Textured header bar,Header with paper or fabric texture,Material presence
285,Header,Hand-drawn divider,Header divider lines that look hand-drawn,Manual marking
286,Header,Stamped header elements,Header elements with rubber stamp effect,Stamping
287,Header,Collage header,Header as a visual collage of elements,Physical assembly
288,Header,Watercolor header,Header with watercolor wash background,Paint medium
289,Header,Handwritten tagline,Tagline in handwriting style,Personal message
290,Header,Organic header shape,Header with irregular organic bottom edge,Hand-cut feel
291,Header,Torn paper header,Header with torn paper bottom edge,Physical tearing
292,Header,Brush stroke header,Header with visible brush stroke marks,Painting gesture
293,Header,Ink wash header,Header with ink wash gradient effect,Ink medium
294,Header,Charcoal header texture,Header with charcoal texture background,Drawing medium
295,Header,Woodcut header illustration,Header with woodcut style illustration,Relief printing
296,Header,Hand-drawn navigation,Header navigation with hand-drawn indicators,Sketchy navigation
297,Header,Stamped date element,Header date styled as a postmark or stamp,Postal marking
298,Header,Handwritten search,Search bar with handwriting-style placeholder,Personal query
299,Header,Organic header transition,Header that morphs organically on scroll,Living element
300,Header,Layered header depth,Header with multiple visual depth layers,Physical layering
301,Footer,Hand-drawn footer border,Footer with sketchy top border,Manual drawing
302,Footer,Textured footer background,Footer with paper or fabric texture,Material presence
303,Footer,Handwritten footer text,Footer text in handwriting style,Personal signature
304,Footer,Stamped footer elements,Footer with rubber stamp style elements,Stamping
305,Footer,Organic footer shape,Footer with irregular organic top edge,Hand-cut feel
306,Footer,Torn paper footer,Footer with torn paper top edge,Physical tearing
307,Footer,Watercolor footer wash,Footer with watercolor background wash,Paint medium
308,Footer,Hand-drawn social icons,Footer social icons in hand-drawn style,Sketchy icons
309,Footer,Brush stroke footer,Footer with visible brush stroke marks,Painting gesture
310,Footer,Ink wash footer,Footer with ink wash gradient,Ink medium
311,Footer,Charcoal footer texture,Footer with charcoal texture,Drawing medium
312,Footer,Woodcut footer illustration,Footer with woodcut illustration,Relief printing
313,Footer,Hand-drawn sitemap,Footer sitemap with hand-drawn connectors,Sketchy diagram
314,Footer,Stamped copyright,Footer copyright styled as a stamp,Official marking
315,Footer,Handwritten newsletter signup,Newsletter signup in handwriting style,Personal invitation
316,Footer,Organic footer transition,Footer that appears with organic animation,Natural emergence
317,Footer,Layered footer depth,Footer with multiple visual depth layers,Physical layering
318,Footer,Hand-drawn divider lines,Footer section dividers that look hand-drawn,Manual marking
319,Footer,Sketch-style footer links,Footer links with hand-drawn underline,Sketchy links
320,Footer,Textured footer pattern,Footer with hand-drawn pattern background,Pattern craft
321,Background,Hand-drawn pattern backgrounds,Backgrounds with hand-drawn repeating patterns,Pattern design
322,Background,Watercolor wash backgrounds,Backgrounds with watercolor wash effects,Paint medium
323,Background,Paper texture backgrounds,Backgrounds with visible paper grain,Material authenticity
324,Background,Canvas texture backgrounds,Backgrounds with canvas weave texture,Painter surface
325,Background,Cork board backgrounds,Backgrounds styled as cork bulletin boards,Community space
326,Background,Chalkboard backgrounds,Backgrounds styled as chalkboards,Classroom feel
327,Background,Notebook paper backgrounds,Backgrounds with ruled notebook lines,Study aesthetic
328,Background,Graph paper backgrounds,Backgrounds with graph paper grid,Technical drawing
329,Background,Kraft paper backgrounds,Backgrounds with kraft brown paper texture,Packaging material
330,Background,Handmade paper backgrounds,Backgrounds with handmade paper fiber texture,Artisan paper
331,Background,Concrete wall backgrounds,Backgrounds with raw concrete texture,Brutalist material
332,Background,Plaster wall backgrounds,Backgrounds with plaster wall texture,Interior finish
333,Background,Wood panel backgrounds,Backgrounds with wood panel grain,Woodworking
334,Background,Fabric texture backgrounds,Backgrounds with woven fabric texture,Textile craft
335,Background,Leather texture backgrounds,Backgrounds with leather grain,Luxury craft
336,Background,Stone texture backgrounds,Backgrounds with natural stone veining,Geology
337,Background,Watercolor paper backgrounds,Backgrounds with cold-press paper texture,Art supply
338,Background,Newsprint backgrounds,Backgrounds with newspaper print texture,Press material
339,Background,Cardboard backgrounds,Backgrounds with corrugated cardboard texture,Packaging
340,Background,Hand-painted backgrounds,Backgrounds with visible brush strokes,Painterly
341,Pattern,Hand-drawn repeating patterns,Patterns with visible hand-drawn variation,Manual repetition
342,Pattern,Block print patterns,Patterns with block print texture and imperfection,Block printing
343,Pattern,Screen print patterns,Patterns with screen print halftone dots,Screen printing
344,Pattern,Watercolor pattern wash,Patterns with watercolor wash fills,Paint medium
345,Pattern,Ink pattern drawing,Patterns drawn with ink pen lines,Ink drawing
346,Pattern,Charcoal pattern sketch,Patterns sketched in charcoal,Drawing medium
347,Pattern,Embroidery patterns,Patterns that look hand-embroidered,Needlework
348,Pattern,Weaving patterns,Patterns that look hand-woven,Textile weaving
349,Pattern,Tile patterns,Patterns with hand-painted tile appearance,Ceramic craft
350,Pattern,Wallpaper patterns,Patterns with vintage wallpaper feel,Interior design
351,Pattern,Textile patterns,Patterns inspired by traditional textiles,Cultural craft
352,Pattern,Pottery patterns,Patterns inspired by hand-painted pottery,Ceramic painting
353,Pattern,Quilt patterns,Patterns inspired by quilt patchwork,Quilting craft
354,Pattern,Mosaic patterns,Patterns with hand-cut mosaic tile appearance,Mosaic art
355,Pattern,Stenciled patterns,Patterns with visible stencil edges,Stencil craft
356,Pattern,Stamp patterns,Patterns made with rubber stamp impressions,Stamping
357,Pattern,Lino cut patterns,Patterns with linocut carved texture,Relief printing
358,Pattern,Etching patterns,Patterns with etched line quality,Printmaking
359,Pattern,Batik patterns,Patterns inspired by batik wax resist dyeing,Textile dyeing
360,Pattern,Ikat patterns,Patterns inspired by ikat weaving technique,Traditional weaving
361,Icon,Hand-drawn icon set,Icons with visible pen stroke variation,Drawing process
362,Icon,Sketch-style icons,Icons with construction lines and sketchy feel,Design process
363,Icon,Ink-drawn icons,Icons drawn with ink pen lines,Ink medium
364,Icon,Watercolor icons,Icons with watercolor wash fills,Paint medium
365,Icon,Charcoal icons,Icons drawn in charcoal with smudged edges,Drawing medium
366,Icon,Woodcut icons,Icons with woodcut carved appearance,Relief printing
367,Icon,Stamp-style icons,Icons styled as rubber stamp impressions,Stamping
368,Icon,Chalk-drawn icons,Icons drawn in chalk on dark backgrounds,Chalkboard
369,Icon,Neon tube icons,Icons styled as bent neon tubes,Sign making
370,Icon,Embroidered icons,Icons that look hand-embroidered,Needlework
371,Icon,Carved wood icons,Icons that look hand-carved from wood,Wood carving
372,Icon,Clay icons,Icons styled as molded clay shapes,Pottery
373,Icon,Metal etched icons,Icons with metal etched appearance,Metalwork
