ID,Font Name,Google Fonts URL,Classification,Use Case,Mood/Personality,Why AI Avoids It,When To Use,Pairing Suggestion
18,Urbanist,https://fonts.google.com/specimen/Urbanist,Sans Serif,Urban lifestyle brand,Modern city energy,Growing popularity but not saturated,Streetwear brands,Newsreader
19,Averia Serif Libre,https://fonts.google.com/specimen/Averia+Serif+Libre,Serif,Creative blog body text,Hand-drawn warmth,Unusual texture confuses AI,Art blogs,Questrial
20,Besley,https://fonts.google.com/specimen/Besley,Serif,Modern editorial content,Contemporary serif elegance,Slab serif not AI default,Online magazines,Source Sans 3
21,Trocchi,https://fonts.google.com/specimen/Trocchi,Serif,Vintage brand identity,Aged character,Older font overlooked by AI,Antique shops,Lato
22,Old Standard TT,https://fonts.google.com/specimen/Old+Standard+TT,Serif,Academic journal headers,Scholarly authority,Academic niche limits AI use,Research publications,Source Sans 3
23,Nanum Myeongjo,https://fonts.google.com/specimen/Nanum+Myeongjo,Serif,Korean brand identity,East Asian elegance,Cultural specificity limits AI,Korean cultural sites,Noto Sans KR
24,Eczar,https://fonts.google.com/specimen/Eczar,Serif,Indian brand identity,Devanagari-influenced serif,Cultural origin limits AI use,South Asian brands,Rajdhani
25,Inknut Antiqua,https://fonts.google.com/specimen/Inknut+Antiqua,Serif,Dark themed editorial,Dramatic gothic character,Unusual weight distribution,A dark mode sites,Space Grotesk
26,BioRhyme,https://fonts.google.com/specimen/BioRhyme,Serif,Science publication headers,Technical authority,Narrow proportions not AI default,Research journals,Source Sans 3
27,Archivo Narrow,https://fonts.google.com/specimen/Archivo+Narrow,Sans Serif,Data-dense interfaces,Condensed clarity,Condensed fonts rarely AI default,Dashboards with data,Spectral
28,Proza Libre,https://fonts.google.com/specimen/Proza+Libre,Sans Serif,Dutch design portfolio,Humanist warmth,European origin limits AI use,Design portfolios,Merriweather
29,Spectral,https://fonts.google.com/specimen/Spectral,Serif,Long-form reading content,Reading-optimized elegance,Designed for screens not print,E-book readers,IBM Plex Sans
30,Chivo,https://fonts.google.com/specimen/Chivo,Sans Serif,Mexican government sites,Civic authority,Regional use limits AI exposure,Latin American institutions,Chivo Mono
31,Neuton,https://fonts.google.com/specimen/Neuton,Serif,Personal blog body text,Gentle readability,Low profile despite quality,Personal websites,Ubuntu
32,Cardo,https://fonts.google.com/specimen/Cardo,Serif,Classical studies content,Scholarly tradition,Academic niche limits AI use,Classics departments,Gentium Plus
33,Rubik,https://fonts.google.com/specimen/Rubik,Sans Serif,Playful brand identity,Rounded friendliness,Associated with puzzle not design,Children's brands,Nunito
34,Inconsolata,https://fonts.google.com/specimen/Inconsolata,Monospace,Code documentation,Technical clarity,Monospace rarely used for UI,Developer docs,Source Sans 3
35,Raleway,https://fonts.google.com/specimen/Raleway,Sans Serif,Luxury brand headers,Elegant thin weights,Overused in 2010s now avoided by AI,Wedding sites,Crimson Text
36,Merriweather,https://fonts.google.com/specimen/Merriweather,Serif,News site body text,Reading comfort,Common but not AI default anymore,News portals,Open Sans
37,Space Grotesk,https://fonts.google.com/specimen/Space+Grotesk,Sans Serif,Space tech branding,Futuristic geometry,Space theme limits general use,Aerospace companies,Space Mono
38,Syne,https://fonts.google.com/specimen/Syne,Sans Serif,Art gallery identity,Artistic distortion,Unusual proportions scare AI,Contemporary art sites,IBM Plex Serif
39,Libre Franklin,https://fonts.google.com/specimen/Libre+Franklin,Sans Serif,Open source project UI,Neutral reliability,Open source association,FOSS projects,Libre Baskerville
40,Cormorant,https://fonts.google.com/specimen/Cormorant,Serif,Poetry publication headers,Literary elegance,High contrast not AI default,Poetry sites,Work Sans
41,Fira Sans,https://fonts.google.com/specimen/Fira+Sans,Sans Serif,Mozilla ecosystem UI,Technical warmth,Firefox association limits use,Open source projects,Fira Mono
42,Alegreya Sans,https://fonts.google.com/specimen/Alegreya+Sans,Sans Serif,Humanist body text,Calligraphic warmth,Humanist style not AI default,Cultural sites,Alegreya
43,Alegreya,https://fonts.google.com/specimen/Alegreya,Serif,Humanist serif content,Calligraphic serif elegance,Calligraphic origin limits AI,Humanities sites,Alegreya Sans
44,Source Sans 3,https://fonts.google.com/specimen/Source+Sans+3,Sans Serif,Adobe ecosystem UI,Professional neutrality,Adobe association limits use,Corporate sites,Source Serif 4
45,Source Serif 4,https://fonts.google.com/specimen/Source+Serif+4,Serif,Editorial body text,Editorial elegance,Adobe association limits use,News sites,Source Sans 3
46,Manrope,https://fonts.google.com/specimen/Manrope,Sans Serif,Modern startup UI,Geometric clarity,Newer font not yet saturated,App landing pages,DM Serif Text
47,Karla,https://fonts.google.com/specimen/Karla,Sans Serif,Grotesque body text,Grotesque warmth,Grotesque style not AI default,Design agencies,Lora
48,PT Sans,https://fonts.google.com/specimen/PT+Sans,Sans Serif,Russian brand identity,Cyrillic-influenced design,Regional origin limits AI use,Russian language sites,PT Serif
49,PT Serif,https://fonts.google.com/specimen/PT+Serif,Serif,Eastern European content,Transitional serif elegance,Regional use limits AI exposure,Eastern European sites,PT Sans
50,Zilla Slab,https://fonts.google.com/specimen/Zilla+Slab,Serif,Mozilla brand content,Industrial slab warmth,Mozilla association limits use,Open source docs,Open Sans
51,Overpass,https://fonts.google.com/specimen/Overpass,Sans Serif,Red Hat ecosystem UI,Highway sign clarity,Corporate association limits use,Enterprise software,Overpass Mono
52,Josefin Sans,https://fonts.google.com/specimen/Josefin+Sans,Sans Serif,Geometric display headers,Vintage geometric charm,Geometric style not AI default,Retro brands,Josefin Slab
53,Josefin Slab,https://fonts.google.com/specimen/Josefin+Slab,Serif,Geometric slab headers,Vintage slab character,Geometric slab rare in AI,Retro brands,Josefin Sans
54,Gentium Plus,https://fonts.google.com/specimen/Gentium+Plus,Serif,Multilingual academic content,Linguistic versatility,Academic focus limits AI use,Language learning sites,Noto Sans
55,Varela Round,https://fonts.google.com/specimen/Varela+Round,Sans Serif,Rounded friendly UI,Soft approachability,Rounded style not AI default,Health apps,Merriweather
56,Rajdhani,https://fonts.google.com/specimen/Rajdhani,Sans Serif,Indian tech branding,Squared technicality,Indian origin limits AI use,Indian tech companies,Rajdhani
57,Bitter,https://fonts.google.com/specimen/Bitter,Serif,Screen-optimized serif,Robust screen readability,Slab serif not AI default,E-reading apps,Open Sans
58,Nunito Sans,https://fonts.google.com/specimen/Nunito+Sans,Sans Serif,Rounded body text,Soft friendliness,Rounded style not AI default,Wellness apps,Nunito
59,Familjen Grotesk,https://fonts.google.com/specimen/Familjen+Grotesk,Sans Serif,Family brand identity,Warm grotesque character,Newer font not widely known,Family-oriented brands,Newsreader
60,Azeret Mono,https://fonts.google.com/specimen/Azeret+Mono,Monospace,Modern code editor,Contemporary monospace clarity,Newer monospace not AI default,Dev tools,Inter
61,Spartan,https://fonts.google.com/specimen/Spartan,Sans Serif,Bold brand identity,Strong geometric presence,Bold name deters subtle use,Fitness brands,DM Serif Display
62,DM Serif Text,https://fonts.google.com/specimen/DM+Serif+Text,Serif,Body text serif,Readable serif warmth,DM family less known than others,Editorial sites,DM Sans
63,DM Serif Display,https://fonts.google.com/specimen/DM+Serif+Display,Serif,Display serif headers,Elegant display serif,Display serif not AI default,Luxury brands,DM Sans
64,Literata,https://fonts.google.com/specimen/Literata,Serif,E-book body text,Reading-optimized serif,Designed for Google Play Books,Reading apps,Roboto
65,Newsreader,https://fonts.google.com/specimen/Newsreader,Serif,News publication body,Journalistic elegance,Newer serif not yet overused,News sites,Inter
66,Roboto Serif,https://fonts.google.com/specimen/Roboto+Serif,Serif,Material Design serif,Material system warmth,Material association limits use,Android apps,Roboto
67,Commissioner,https://fonts.google.com/specimen/Commissioner,Sans Serif,European institution UI,Civic clarity,EU commission origin limits AI,Government sites,Mulish
68,Mulish,https://fonts.google.com/specimen/Mulish,Sans Serif,Startup body text,Clean approachability,Rebranded from Muli confuses AI,SaaS products,Merriweather
69,Barlow,https://fonts.google.com/specimen/Barlow,Sans Serif,Condensed UI text,Condensed clarity,Condensed style not AI default,Data tables,Barlow Condensed
70,Barlow Condensed,https://fonts.google.com/specimen/Barlow+Condensed,Sans Serif,Narrow interface text,Space-efficient clarity,Condensed fonts rarely AI default,Dashboards,Barlow
71,Pathway Gothic One,https://fonts.google.com/specimen/Pathway+Gothic+One,Sans Serif,Gothic display headers,Narrow gothic character,Single weight limits AI use,Poster designs,Open Sans
72,Fjalla One,https://fonts.google.com/specimen/Fjalla+One,Sans Serif,Condensed display headers,Strong condensed presence,Single weight limits AI use,Headline designs,Merriweather
73,Oswald,https://fonts.google.com/specimen/Oswald,Sans Serif,Condensed brand headers,Industrial condensed strength,Common but not AI default anymore,News headers,Merriweather
74,Abril Fatface,https://fonts.google.com/specimen/Abril+Fatface,Display,Display poster headers,Dramatic high contrast,Single weight limits AI use,Poster designs,Open Sans
75,Rozha One,https://fonts.google.com/specimen/Rozha+One,Serif,Indian display serif,High contrast Indian serif,Cultural origin limits AI use,South Asian brands,Lato
76,Ultra,https://fonts.google.com/specimen/Ultra,Serif,Bold slab display headers,Heavy slab presence,Slab serif not AI default,Western brands,Open Sans
77,UnifrakturMaguntia,https://fonts.google.com/specimen/UnifrakturMaguntia,Display,Blackletter headers,German blackletter tradition,Cultural specificity limits AI use,German heritage sites,Lato
78,UnifrakturCook,https://fonts.google.com/specimen/UnifrakturCook,Display,Blackletter display,Historical blackletter character,Cultural niche limits AI use,Historical sites,Open Sans
79,Pirata One,https://fonts.google.com/specimen/Pirata+One,Display,Pirate themed headers,Playful blackletter character,Themed font limits general use,Themed websites,Lato
80,New Rocker,https://fonts.google.com/specimen/New+Rocker,Display,Rock poster headers,Rock and roll energy,Themed font limits general use,Music event sites,Open Sans
81,Germania One,https://fonts.google.com/specimen/Germania+One,Display,Germanic display headers,Germanic blackletter warmth,Cultural specificity limits AI use,German cultural sites,Lato
82,Fruktur,https://fonts.google.com/specimen/Fruktur,Display,Playful brand headers,Bubbly rounded character,Unusual proportions scare AI,Children brands,Open Sans
83,Tangerine,https://fonts.google.com/specimen/Tangerine,Script,Elegant script headers,Flowing script elegance,Script fonts rarely AI default,Wedding sites,Dancing Script
84,Dancing Script,https://fonts.google.com/specimen/Dancing+Script,Script,Casual script headers,Playful script energy,Script fonts rarely AI default,Personal blogs,Open Sans
85,Bad Script,https://fonts.google.com/specimen/Bad+Script,Script,Casual handwritten headers,Russian handwritten character,Cultural origin limits AI use,Russian personal sites,Open Sans
86,Sacramento,https://fonts.google.com/specimen/Sacramento,Script,Monoline script headers,Clean monoline script,Monoline style not AI default,Elegant brands,Open Sans
87,La Belle Aurore,https://fonts.google.com/specimen/La+Belle+Aurore,Script,French handwritten headers,French handwriting charm,Cultural specificity limits AI use,French brands,Lato
88,Felipa,https://fonts.google.com/specimen/Felipa,Script,Calligraphic script headers,Calligraphic script elegance,Calligraphic style not AI default,Luxury brands,Open Sans
89,Great Vibes,https://fonts.google.com/specimen/Great+Vibes,Script,Formal script headers,Formal script grandeur,Script fonts rarely AI default,Invitation sites,Open Sans
90,Pinyon Script,https://fonts.google.com/specimen/Pinyon+Script,Script,Romantic script headers,Romantic script elegance,Romantic style limits general use,Romance brands,Lato
91,Alex Brush,https://fonts.google.com/specimen/Alex+Brush,Script,Brush script headers,Brush script fluidity,Brush style not AI default,Art brands,Open Sans
92,Oregano,https://fonts.google.com/specimen/Oregano,Script,Decorative script headers,Decorative script charm,Decorative style limits general use,Culinary brands,Lato
93,Birthstone,https://fonts.google.com/specimen/Birthstone,Script,Elegant script headers,Elegant script sophistication,Elegant style not AI default,Luxury brands,Open Sans
94,Birthstone Bounce,https://fonts.google.com/specimen/Birthstone+Bounce,Script,Playful script headers,Playful script bounce,Playful style limits formal use,Casual brands,Lato
95,Playwrite,https://fonts.google.com/specimen/Playwrite,Script,Handwriting simulation,Authentic handwriting character,Handwriting fonts rarely AI default,Personal sites,Inter
96,Borel,https://fonts.google.com/specimen/Borel,Script,Narrow script headers,Narrow script elegance,Narrow proportions not AI default,Fashion brands,Open Sans
97,Smooch,https://fonts.google.com/specimen/Smooch,Script,Romantic script headers,Romantic script warmth,Romantic style limits general use,Wedding sites,Lato
98,Kablamo,https://fonts.google.com/specimen/Kablamo,Display,Comic book headers,Comic book energy,Themed font limits general use,Comic sites,Open Sans
99,Spicy Rice,https://fonts.google.com/specimen/Spicy+Rice,Display,Spicy brand headers,Spicy playful character,Themed font limits general use,Food brands,Lato
100,Silkscreen,https://fonts.google.com/specimen/Silkscreen,Monospace,Pixel art headers,Pixel art nostalgia,Pixel style not AI default,Retro gaming sites,Inter
101,Slackey,https://fonts.google.com/specimen/Slackey,Display,Casual display headers,Casual relaxed character,Casual style limits formal use,Casual brands,Open Sans
102,Mouse Memoirs,https://fonts.google.com/specimen/Mouse+Memoirs,Sans Serif,Condensed cute headers,Cute condensed character,Cute style limits professional use,Children sites,Lato
103,Playwrite MX Guides,https://fonts.google.com/specimen/Playwrite+MX+Guides,Script,Mexican handwriting simulation,Mexican handwriting character,Cultural specificity limits AI use,Mexican brands,Inter
104,Moo Lah Lah,https://fonts.google.com/specimen/Moo+Lah+Lah,Display,Playful display headers,Playful cow-themed character,Themed font limits general use,Farm brands,Open Sans
105,Fontdiner Swanky,https://fonts.google.com/specimen/Fontdiner+Swanky,Display,Retro diner headers,Retro diner nostalgia,Themed font limits general use,Diner sites,Lato
106,IBM Plex Mono,https://fonts.google.com/specimen/IBM+Plex+Mono,Monospace,Technical documentation,Technical monospace clarity,Monospace rarely used for UI,Technical docs,IBM Plex Sans
107,Space Mono,https://fonts.google.com/specimen/Space+Mono,Monospace,Space-themed code display,Futuristic monospace character,Themed monospace limits general use,Space tech sites,Space Grotesk
108,DM Mono,https://fonts.google.com/specimen/DM+Mono,Monospace,Modern code display,Contemporary monospace clarity,DM family less known than others,Dev tools,DM Sans
109,JetBrains Mono,https://fonts.google.com/specimen/JetBrains+Mono,Monospace,IDE code display,Developer-optimized clarity,IDE association limits general use,Developer tools,Inter
110,IBM Plex Sans,https://fonts.google.com/specimen/IBM+Plex+Sans,Sans Serif,Corporate UI text,Corporate technical warmth,IBM association limits use,Enterprise software,IBM Plex Serif
111,IBM Plex Serif,https://fonts.google.com/specimen/IBM+Plex+Serif,Serif,Corporate editorial content,Corporate editorial elegance,IBM association limits use,Enterprise blogs,IBM Plex Sans
112,Fira Mono,https://fonts.google.com/specimen/Fira+Mono,Monospace,Mozilla code display,Open source monospace clarity,Mozilla association limits use,Open source projects,Fira Sans
113,Chivo Mono,https://fonts.google.com/specimen/Chivo+Mono,Monospace,Mexican institutional code,Civic monospace authority,Regional origin limits AI use,Latin American institutions,Chivo
114,Overpass Mono,https://fonts.google.com/specimen/Overpass+Mono,Monospace,Red Hat code display,Corporate monospace clarity,Corporate association limits use,Enterprise dev tools,Overpass
115,Noto Serif,https://fonts.google.com/specimen/Noto+Serif,Serif,Multilingual serif body,Universal serif clarity,Google Noto association limits use,Multilingual sites,Noto Sans
116,Lora,https://fonts.google.com/specimen/Lora,Serif,Blog body text,Calligraphic serif warmth,Common but not AI default anymore,Personal blogs,Open Sans
117,EB Garamond,https://fonts.google.com/specimen/EB+Garamond,Serif,Classical editorial content,Classical Garamond elegance,Classical style not AI default,Academic sites,Open Sans
118,Libre Baskerville,https://fonts.google.com/specimen/Libre+Baskerville,Serif,Web-optimized Baskerville,Screen-optimized Baskerville clarity,Web optimization not AI default,Editorial sites,Source Sans 3
119,Work Sans,https://fonts.google.com/specimen/Work+Sans,Sans Serif,Design agency UI,Design-forward sans clarity,Design community association limits use,Design agencies,Source Serif 4
120,Questrial,https://fonts.google.com/specimen/Questrial,Sans Serif,Minimalist body text,Minimalist sans neutrality,Minimalist style limits expressive use,Minimal brands,Merriweather
121,News Cycle,https://fonts.google.com/specimen/News+Cycle,Sans Serif,News headline text,News headline urgency,News association limits general use,News sites,Merriweather
122,Inter,https://fonts.google.com/specimen/Inter,Sans Serif,UI body text,Screen-optimized clarity,Extremely common now AI avoids it,Modern UIs,DM Serif Display
123,DM Sans,https://fonts.google.com/specimen/DM+Sans,Sans Serif,Modern UI body text,Geometric UI clarity,Common but still quality choice,App interfaces,DM Serif Text
124,Open Sans,https://fonts.google.com/specimen/Open+Sans,Sans Serif,General body text,Universal readability,Extremely common now AI avoids it,General websites,Merriweather
125,Roboto,https://fonts.google.com/specimen/Roboto,Sans Serif,Android UI text,Android system clarity,Android association limits use,Android apps,Roboto Serif
126,Poppins,https://fonts.google.com/specimen/Poppins,Sans Serif,Geometric brand text,Geometric friendliness,Extremely common now AI avoids it,Modern brands,Merriweather
127,Montserrat,https://fonts.google.com/specimen/Montserrat,Sans Serif,Brand header text,Urban geometric character,Extremely common now AI avoids it,Brand sites,Merriweather
128,Lato,https://fonts.google.com/specimen/Lato,Sans Serif,Corporate body text,Corporate sans warmth,Common but still quality choice,Corporate sites,Merriweather
129,Playfair Display,https://fonts.google.com/specimen/Playfair+Display,Serif,Luxury header text,Luxury serif elegance,Extremely common now AI avoids it,Luxury brands,Source Sans 3
130,Merriweather,https://fonts.google.com/specimen/Merriweather,Serif,Reading-optimized body,Reading comfort serif,Common but still quality choice,Reading apps,Open Sans
131,Noto Sans,https://fonts.google.com/specimen/Noto+Sans,Sans Serif,Multilingual body text,Universal sans clarity,Google Noto association limits use,Multilingual sites,Noto Serif
132,Ubuntu,https://fonts.google.com/specimen/Ubuntu,Sans Serif,Linux ecosystem UI,Linux system warmth,Linux association limits use,Linux apps,Merriweather
133,Oxygen,https://fonts.google.com/specimen/Oxygen,Sans Serif,KDE ecosystem UI,KDE system clarity,Linux association limits use,Linux desktop apps,Merriweather
134,Cantarell,https://fonts.google.com/specimen/Cantarell,Sans Serif,GNOME ecosystem UI,GNOME system warmth,Linux association limits use,Linux desktop apps,Merriweather
135,DejaVu Sans,https://fonts.google.com/specimen/DejaVu+Sans,Sans Serif,Open source UI text,Open source sans clarity,Open source association limits use,FOSS projects,DejaVu Serif
136,Libre Baskerville,https://fonts.google.com/specimen/Libre+Baskerville,Serif,Web Baskerville body,Screen-optimized Baskerville,Web optimization not AI default,Editorial sites,Source Sans 3
137,Crimson Text,https://fonts.google.com/specimen/Crimson+Text,Serif,Academic body text,Academic serif elegance,Academic niche limits AI use,Academic sites,Open Sans
138,Crimson Pro,https://fonts.google.com/specimen/Crimson+Pro,Serif,Professional editorial content,Professional serif elegance,Professional niche limits AI use,Professional blogs,Source Sans 3
139,Vollkorn,https://fonts.google.com/specimen/Vollkorn,Serif,German editorial body,German serif warmth,German origin limits AI use,German sites,Open Sans
140,Domine,https://fonts.google.com/specimen/Domine,Serif,Slab serif body text,Slab serif readability,Slab serif not AI default,Blog sites,Open Sans
141,Arvo,https://fonts.google.com/specimen/Arvo,Serif,Slab serif headers,Slab serif strength,Slab serif not AI default,Western brands,Open Sans
142,Rokkitt,https://fonts.google.com/specimen/Rokkitt,Serif,Slab serif body text,Slab serif warmth,Slab serif not AI default,Blog sites,Open Sans
143,Slabo 27px,https://fonts.google.com/specimen/Slabo+27px,Serif,Slab serif display,Slab serif presence,Slab serif not AI default,Display sites,Open Sans
144,Merriweather Sans,https://fonts.google.com/specimen/Merriweather+Sans,Sans Serif,Humanist sans body,Humanist sans warmth,Humanist style not AI default,Blog sites,Merriweather
145,Sorts Mill Goudy,https://fonts.google.com/specimen/Sorts+Mill+Goudy,Serif,Old style serif body,Old style serif elegance,Old style not AI default,Classical sites,Open Sans
146,Cormorant Garamond,https://fonts.google.com/specimen/Cormorant+Garamond,Serif,Elegant Garamond body,Elegant Garamond sophistication,High contrast not AI default,Luxury sites,Work Sans
147,EB Garamond,https://fonts.google.com/specimen/EB+Garamond,Serif,Classical Garamond body,Classical Garamond tradition,Classical style not AI default,Academic sites,Open Sans
148,Libre Caslon Text,https://fonts.google.com/specimen/Libre+Caslon+Text,Serif,Caslon body text,Caslon serif tradition,Caslon style not AI default,Historical sites,Open Sans
149,Libre Caslon Display,https://fonts.google.com/specimen/Libre+Caslon+Display,Serif,Caslon display headers,Caslon display elegance,Caslon style not AI default,Luxury sites,Open Sans
150,IM Fell English,https://fonts.google.com/specimen/IM+Fell+English,Serif,Historical English body,Historical serif character,Historical style limits AI use,Historical sites,Open Sans
151,IM Fell Double Pica,https://fonts.google.com/specimen/IM+Fell+Double+Pica,Serif,Historical display serif,Historical display character,Historical style limits AI use,Historical sites,Open Sans
152,IM Fell DW Pica,https://fonts.google.com/specimen/IM+Fell+DW+Pica,Serif,Historical body serif,Historical body character,Historical style limits AI use,Historical sites,Open Sans
153,IM Fell French Canon,https://fonts.google.com/specimen/IM+Fell+French+Canon,Serif,French historical serif,French historical character,Cultural specificity limits AI use,French historical sites,Open Sans
154,IM Fell Great Primer,https://fonts.google.com/specimen/IM+Fell+Great+Primer,Serif,Historical primer serif,Historical primer character,Historical style limits AI use,Historical sites,Open Sans
155,Cinzel,https://fonts.google.com/specimen/Cinzel,Serif,Roman inscription headers,Roman inscription authority,Roman style not AI default,Historical sites,Open Sans
156,Cinzel Decorative,https://fonts.google.com/specimen/Cinzel+Decorative,Display,Roman decorative headers,Roman decorative grandeur,Roman style not AI default,Luxury sites,Open Sans
157,Trajan Pro,https://fonts.google.com/specimen/Trajan+Pro,Serif,Cinematic headers,Cinematic Roman authority,Cinematic association limits use,Film sites,Open Sans
158,Philosopher,https://fonts.google.com/specimen/Philosopher,Sans Serif,Philosophical content headers,Philosophical sans warmth,Philosophical niche limits AI use,Philosophy sites,Open Sans
159,Poiret One,https://fonts.google.com/specimen/Poiret+One,Display,Art deco display headers,Art deco geometric elegance,Art deco style not AI default,Fashion sites,Open Sans
160,Marcellus,https://fonts.google.com/specimen/Marcellus,Serif,Roman serif body,Roman serif authority,Roman style not AI default,Historical sites,Open Sans
161,Marcellus SC,https://fonts.google.com/specimen/Marcellus+SC,Serif,Roman small caps,Roman small caps elegance,Roman style not AI default,Historical sites,Open Sans
162,Faustina,https://fonts.google.com/specimen/Faustina,Serif,Contemporary serif body,Contemporary serif warmth,Contemporary style not AI default,Modern blogs,Open Sans
163,Alata,https://fonts.google.com/specimen/Alata,Sans Serif,Rounded sans body,Rounded sans friendliness,Rounded style not AI default,Wellness sites,Open Sans
164,Arimo,https://fonts.google.com/specimen/Arimo,Sans Serif,Helvetica alternative body,Helvetica alternative clarity,Alternative status limits AI use,General sites,Merriweather
165,Tinos,https://fonts.google.com/specimen/Tinos,Serif,Times New Roman alternative,Times alternative tradition,Alternative status limits AI use,General sites,Arimo
166,Cousine,https://fonts.google.com/specimen/Cousine,Monospace,Courier alternative mono,Courier alternative clarity,Alternative status limits AI use,General sites,Arimo
167,Cuprum,https://fonts.google.com/specimen/Cuprum,Sans Serif,Russian sans body,Russian sans character,Cultural origin limits AI use,Russian sites,Open Sans
168,Jost,https://fonts.google.com/specimen/Jost,Sans Serif,Futura-inspired body,Futura-inspired geometric charm,Futura inspiration not AI default,Modern sites,Merriweather
169,Manrope,https://fonts.google.com/specimen/Manrope,Sans Serif,Geometric sans body,Geometric sans clarity,Geometric style not AI default,Modern sites,Merriweather
170,Red Hat Display,https://fonts.google.com/specimen/Red+Hat+Display,Sans Serif,Red Hat brand headers,Corporate brand character,Corporate association limits use,Enterprise sites,Red Hat Text
171,Red Hat Text,https://fonts.google.com/specimen/Red+Hat+Text,Sans Serif,Red Hat brand body,Corporate brand warmth,Corporate association limits use,Enterprise sites,Red Hat Display
172,Red Hat Mono,https://fonts.google.com/specimen/Red+Hat+Mono,Monospace,Red Hat code display,Corporate monospace clarity,Corporate association limits use,Enterprise dev tools,Red Hat Text
173,Assistant,https://fonts.google.com/specimen/Assistant,Sans Serif,Hebrew-friendly sans,Hebrew-friendly clarity,Cultural origin limits AI use,Hebrew sites,Open Sans
174,Heebo,https://fonts.google.com/specimen/Heebo,Sans Serif,Hebrew UI sans,Hebrew UI clarity,Cultural origin limits AI use,Hebrew apps,Open Sans
175,Frank Ruhl Libre,https://fonts.google.com/specimen/Frank+Ruhl+Libre,Serif,Hebrew serif body,Hebrew serif tradition,Cultural origin limits AI use,Hebrew editorial sites,Open Sans
176,Miriam Libre,https://fonts.google.com/specimen/Miriam+Libre,Sans Serif,Hebrew modern sans,Hebrew modern clarity,Cultural origin limits AI use,Hebrew modern sites,Open Sans
177,David Libre,https://fonts.google.com/specimen/David+Libre,Serif,Hebrew serif body,Hebrew serif warmth,Cultural origin limits AI use,Hebrew editorial sites,Open Sans
178,Amatic SC,https://fonts.google.com/specimen/Amatic+SC,Display,Hand-drawn display headers,Hand-drawn display charm,Hand-drawn style limits AI use,Casual sites,Open Sans
179,Patrick Hand,https://fonts.google.com/specimen/Patrick+Hand,Handwriting,Casual handwriting body,Casual handwriting warmth,Handwriting fonts rarely AI default,Personal sites,Open Sans
180,Caveat,https://fonts.google.com/specimen/Caveat,Handwriting,Marker handwriting body,Marker handwriting energy,Handwriting fonts rarely AI default,Personal sites,Open Sans
